n,body,note
1,Please remember to defrost the chicken before Thursday.,The reference mundane line from the PRD.
2,"The remote control is under the couch cushion, where it always is.",
3,The meeting has been moved to the small room next to the kitchen.,
4,Don't forget to water the plant on the windowsill. It's looking thirsty.,
5,The printer is out of paper again. There's more in the bottom drawer.,
6,"Leftovers are in the fridge. The label says Tuesday, but they're probably fine.","""Probably"" is doing comedic work in the deadpan read."
7,"The bus leaves at seven forty. If we miss it, we're walking.","Menacing read is comedically ominous — flagged, not dark."
8,"Somebody left the freezer door open overnight, and now the ice cream is soup.",
9,The library books are due back on Friday. All nine of them.,
10,"I checked twice, and yes, we are completely out of paper towels.",
11,"Turn the router off, count to ten, and turn it back on.",
12,"The socks in the dryer belong to somebody, but nobody is claiming them.",
13,"There is one slice of pizza left, and I have plans for it.","Menacing read is comedically ominous — flagged, not dark."
14,The instructions say some assembly is required. The instructions are lying.,
15,"Bin day is tomorrow. The blue one, not the green one.",
16,"My phone is at four percent, so I'll keep this brief.",
17,The elevator is out again. We live on the ninth floor.,
18,Preheat the oven to three fifty and wait for the beep.,
19,The umbrella is by the door. The forecast said maybe.,
20,Whoever finishes the coffee has to make the next pot. That is the rule.,
